SKU*,Warehouse Locations,Qty In Stock
NG23229D,"D2S,",44
NG23229U,,0
NG23235,,
NG23236,"B2H,E2S,",1614
NG23237,,
NG23239,"E2F,G1H,",756
NG23239A,"E5S,",274
NG23242,"E7S,",118
NG23242A,"E8F,",12
NG23244,,0
NG23245,"Kitchen #33,",6
NG23246,,0
NG23247,,0
NG23251,,0
NG23252B,,0
NG23252F,"B4F,",4
NG23254,,
NG23255,"F5S,",729
NG23264,,0
NG23264B,,0
NG23268,"F7F,",190
NG23268A,"F6S,",49
NG23272,,0
NG23273,,0
NG23275,"I6F,",123
NG23276,,0
NG23286,"E4S,",315
NG23294,"D3S,G4H,",910
NG23295,"D2S,",213
NG23299,"Kitchen #3,",0
NG23301A,"kitchen #31,",-1
NG23301B,"Kitchen 27,",2
NG23309,"A13F,",163
NG23311,"A13F,",54
NG23312,,0
NG23320,"D7F,",204
NG23334,"A10S,E7M,",266
NG23335,"A6M,A6S,D4M,",282
NG23336,"D4M,D5S,",258
NG23337,,9
NG23338,"B5F,H8H,",239
NG23341,"D4F,G5H,",57
NG23345,"C8H,D3H,D4F,",369
NG23347,,0
NG23352,"B10F,",10
NG23353,"A13F,",1
NG23354,"B9F,",355
NG23355,"B9F,",343
NG23356,"B9F0,",166
NG23357,"B9F0,",192
NG23358,"E5S,",109
NG23359,"C11F,",-3
NG23362,,-1
NG23365,"E4S,E7M,J2H,",1076
NG23368,"A4H,B3M,B6F,",104
NG23369,,6
NG23372,"C4M,C5S,",220
NG23373,"Kitchen #33,",-11
NG23374,"C4H,I6F0,",264
NG23375,"C4H,E4S0,E6M,E7M,",0
NG23375A,"C4H,E4S0,E6M,",196
NG23375B,"C4H,E4S0,E7M,",200
NG23376,"B5S0,D4H,",0
NG23376A,"B5S0,D4H,",449
NG23376B,"B5S0,D4H,",449
NG23377,,12
NG23379,"H4M,H5F,",347
NG23380,"J7F,J8H,",231
NG23382A,"C3M,E4S,",76
NG23382B,,
NG23383,,24
NG23384,"G6S0,",0
NG23384A,"G6S0,",361
NG23384B,"G6S0,Kitchen #17,",339
NG23385,"D1F0,",620
NG23387,,
NG23391,,0
NG23391A,"Kitchen #40,",2
NG23391B,,0
NG23392A,"B4F,",128
NG23392B,"B4F,",84
NG23395,,
NG23397,"G7M,H5F,",77
NG23402,"J7F,",165
NG23403,"A6M,C4F,F2M,",287
NG23406,,0
NG23407,"E8H,J9F,",171
NG23410,"F2S,",228
